basin_id,basin_name,year,precip_mm_year,valid_terraclimate_area_km2
basin_011,Salar de Jama,2001,101.60487836025793,
basin_012,Salar de Llullaillaco,2001,38.07738309352518,
basin_013,Salar de Olaroz,2001,122.04577307290893,
basin_014,Salar de Pastos Grandes,2001,140.96839144604664,
basin_015,Laguna Palar,2001,121.30386405017204,
basin_016,Salar de Pocitos o Quirón,2001,101.98530440867742,
basin_017,Laguna de Pozuelos,2001,208.1832739484786,
basin_018,Salar de Pozuelos,2001,113.46168129642135,
basin_019,Salar de Rincón,2001,94.27956445523192,
basin_020,Salar de Río Grande,2001,44.76458062840821,
basin_021,Salinas Grandes de Jujuy y Salta,2001,165.44524099084683,
basin_022,Laguna Socompa,2001,42.19242720681321,
basin_023,Laguna de las Salinas o Tres Quebradas,2001,90.97620085975949,
basin_024,Laguna Verde,2001,103.34520855765176,
basin_025,Laguna de Vilama,2001,120.71076029758665,
basin_026,Río Zapaleri,2001,111.18614788505006,
basin_027,Cuencas endorreicas en Catamarca (A),2001,117.72796113730534,
basin_028,Cuencas endorreicas en Catamarca (B),2001,128.117293567772,
basin_029,Cuencas endorreicas en Catamarca (C),2001,184.98938992042443,
basin_030,Cuencas endorreicas en Catamarca (D),2001,145.8674569852639,
basin_031,Cuencas endorreicas en Catamarca (E),2001,86.01753859348194,
basin_032,Cuencas endorreicas en Catamarca (F),2001,78.48979591836735,
basin_033,Cuencas endorreicas en Catamarca (G),2001,100.50491416590228,
basin_034,Cuencas endorreicas en Catamarca (H),2001,51.00807520494823,
basin_035,Cuencas endorreicas en Jujuy (A),2001,107.96866096866096,
basin_036,Cuencas endorreicas en Jujuy (B),2001,199.07896974851172,
basin_037,Cuencas endorreicas en Jujuy (C),2001,102.77272727272728,
basin_038,Cuencas endorreicas en Jujuy (D),2001,110.05297065139584,
basin_039,Cuencas endorreicas en Jujuy (E),2001,119.36918304033091,
basin_040,Cuencas endorreicas en Jujuy (F),2001,132.58384594811446,
basin_041,Cuencas endorreicas en Salta (A),2001,120.88982320606151,
basin_042,Cuencas endorreicas en Salta (B),2001,83.15008186283428,
basin_043,Cuencas endorreicas en Salta (C),2001,39.86096807415036,
basin_044,Cuencas endorreicas en Salta (D),2001,119.85963455149503,
basin_045,Cuencas endorreicas en Salta (E),2001,164.8402777777778,
basin_046,Cuencas endorreicas en Salta (F),2001,49.14536194372548,
basin_047,Cuencas endorreicas en Salta (G),2001,171.5771375464684,
